0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.000561374,0.000489035,0.000443549,0.000308467,0.000324924,0.0002658,0.000353065,0.000591278,0.000686512,0.000900162,0.000589969,0.000481526,0.000464744,0.000358589,0.000715755,0.001398728,0.000401486,0.000281706,0.00032712
0.000201988,0.000212325,0.000197111,0.000208975,0.000230004,0.00021958,0.000264015,0.000234283,0.000270006,0.000235878,0.000232529,0.000227292,0.000253451,0.000238216,0.000232127,0.000241425,0.000189546,0.000211843,0.000244475
0.000383517,0.000407793,0.00033599,0.000362316,0.000153867,0.000216939,0.0002785,0.00038743,0.000406761,0.000382109,0.000383494,0.000490426,0.000304763,0.000323713,0.000307978,0.000421068,0.000329566,0.000174484,0.000221264
0.000182575,0.00021676,0.00017119,0.000168602,0.000136519,0.000169194,0.000193634,0.000212681,0.00019803,0.00022028,0.00019955,0.000193748,0.000239125,0.000210809,0.000287886,0.00026177,0.00015532,0.000128047,0.000164743
0.00021021,0.000167658,0.000324854,0.000195654,0.000236462,0.000199636,0.000457748,9.25E-05,0.000331764,0.000852931,0.000296962,0.00028813,0.00020676,0.000294117,0.000359906,0.000184316,0.000189209,0.000772356,0.000327452
0.000407251,0.000392102,0.000332016,0.000325621,0.000225843,0.000254645,0.000407949,0.000588186,0.000591203,0.00068752,0.000454937,0.000405995,0.000487609,0.000353837,0.000556823,0.000608547,0.000403047,0.00022819,0.000352079
0.000224103,0.000244971,0.000229081,0.000233732,0.000213402,0.000209679,0.000311714,0.000413822,0.000479471,0.00058704,0.000270108,0.000307848,0.000383834,0.00051305,0.000576246,0.000824567,0.000245841,0.000226525,0.000279553
0.00036494,0.000303595,0.000236833,0.000185024,0.000249593,0.000159221,0.000547797,0.000383968,0.000878904,0.000755554,0.000377949,0.000353019,0.000511682,0.000473132,0.000751388,0.000637348,0.000160459,0.000162716,0.000380835
0.000124174,0.000140935,0.000127976,0.000125785,0.000112488,0.000102507,0.000139849,0.00011534,0.000282903,0.000231694,0.000130509,0.00013245,0.000154973,0.000139915,0.00013979,0.000228304,0.00011774,0.000118216,0.000126545
0.000206681,0.000193479,0.000214696,0.000206862,0.000205577,0.00018799,0.000215268,0.000250612,0.000301716,0.000466764,0.000219427,0.000204251,0.000230161,0.000230301,0.00025285,0.000352473,0.000202931,0.000202734,0.000214833
