0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.00095917,0.000865394,0.000745019,0.000735461,0.000712598,0.000641783,0.000702034,0.000649551,0.000752065,0.000710124,0.000811979,0.000771242,0.000789522,0.000685446,0.000820798,0.00069146,0.00083922,0.000712302,0.000710946
0.000602477,0.000735392,0.000568305,0.000609801,0.000801095,0.000733684,0.000906503,0.000779727,0.000915411,0.000769968,0.000782553,0.000812366,0.000961814,0.000873583,0.000812538,0.000758274,0.000536992,0.000632179,0.000763368
0.000543758,0.000540303,0.000521669,0.000509291,0.000465075,0.000503746,0.00055005,0.000558397,0.000586784,0.000554936,0.000676055,0.000588052,0.000575878,0.000520655,0.000560872,0.000562708,0.000531064,0.000507122,0.000552873
0.000878928,0.00100325,0.000894907,0.000861613,0.000839362,0.000827222,0.001040534,0.000785914,0.00098788,0.00089262,0.000866643,0.000846194,0.000994098,0.000826363,0.001183738,0.00082618,0.000970671,0.000880713,0.000890572
0.000705114,0.000704482,0.000888839,0.000698529,0.000878416,0.000762093,0.00100695,0.000208358,0.000823651,0.001512172,0.001040969,0.000791365,0.00097294,0.000931331,0.001182179,0.001146502,0.00094939,0.001071154,0.000600475
0.000470973,0.000580603,0.000569464,0.000592104,0.000498573,0.000553342,0.00054435,0.000559271,0.000551412,0.000552535,0.000497278,0.000495483,0.000554023,0.000535698,0.000580069,0.000580844,0.000738939,0.000561097,0.000530024
0.000667191,0.000657125,0.000654317,0.000703348,0.000630201,0.00061766,0.000637109,0.000602869,0.000581218,0.000595587,0.000620881,0.000678922,0.000629969,0.000693235,0.000620391,0.000599845,0.000678784,0.000680669,0.000622612
0.00113091,0.000903549,0.000855211,0.000746628,0.000777611,0.000847584,0.000868525,0.00094336,0.001101334,0.001218138,0.001078285,0.001033815,0.001254877,0.00126235,0.001236872,0.001379047,0.00071795,0.000792848,0.000864526
0.000953195,0.000968336,0.000993581,0.000883257,0.000913003,0.000960183,0.00096265,0.001025683,0.000930043,0.001046241,0.000906742,0.00095927,0.000934362,0.000937841,0.000919875,0.001026783,0.00095635,0.001070736,0.001031548
0.000958027,0.000681513,0.000747166,0.000630055,0.00059371,0.000565622,0.000687592,0.000744972,0.000758772,0.000908476,0.000892963,0.000666643,0.000814251,0.000715099,0.000768158,0.000904671,0.000696959,0.000604264,0.000735581
0.000633606,0.000396266,0.000635927,0.00058264,0.000579256,0.000603788,0.000655665,0.000698225,0.000835108,0.000927567,0.000544549,0.000540823,0.000636937,0.000628943,0.000799525,0.000835535,0.000596979,0.000642189,0.0006936
0.000499126,0.000498192,0.000510036,0.000489449,0.00052835,0.000512515,0.000529777,0.000518519,0.000517861,0.000536829,0.000530933,0.000502972,0.000548107,0.000531646,0.000567231,0.000570565,0.000500802,0.000505922,0.000479887
0.000428472,0.000478027,0.000429907,0.000483263,0.000434563,0.000497751,0.000490419,0.000516163,0.000577386,0.000611936,0.000442684,0.00055579,0.000526449,0.000582736,0.000552505,0.000574299,0.000517054,0.000470821,0.000514232
